ID,Company,Year,NUM_OF_EMPLOYEES,NET_ASSETS,NET_INCOME,SALES_REV_TURN,HISTORICAL_MARKET_CAP,ESG_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,TOT_GHG_CO2_EM_INTENS_PER_SALES,PCT_WOMEN_EMPLOYEES,PCT_WOMEN_ON_BOARD,ROBECOSAM_TOTAL_STBLY_RANK,ROBECOSAM_SOCIAL_DIMENSION_RANK,ROBECOSAM_ENV_DIMENSION_RANK,ROBECOSAM_ECON_DIMENSION_RANK,Twitter_Username,followers_countÿ,friends_countÿ ,created_at,Tweets,Likes,Retweets,Images,Proportion relevant,likes per relevant,retweets per relevant,FB Posts,Likes,Shares,FB Images,FB Proportion relevant,FB likes per relevant,FB shares per relevant
22,WHR US EQUITY,2016,93000,5728,888,20718,13450.98,33.0579,57.1429,26.3566,24.5614,39.8283,#N/A N/A,16.667,67,67,75,75,@WhirlpoolCorp,28241,1249,39762.64542,176.92,3.82,1.82,42.48704663,8.619877532,4.245901639,2.360655738,7.75,68.93548387,9.451612903,51.61290323,5.376344086,53.4,20.4
22,WHR US EQUITY,2017,92000,5128,350,21253,11973.44,35.5372,57.1429,31.0078,24.5614,37.091,#N/A N/A,14.286,58,58,58,75,@WhirlpoolCorp,28241,1249,39762.64542,116.83,5.35,2.16,86.80456491,5.848787447,6.12195122,2.975609756,16,207.5885417,32.38541667,62.5,6.25,70.08333333,6.666666667
22,WHR US EQUITY,2018,92000,3205,-183,21037,6839.68,45.0413,57.1429,42.6357,38.5965,35.8213,39,14.286,64,55,55,73,@WhirlpoolCorp,28241,1249,39762.64542,119.75,5.07,1.31,78.35768963,2.922755741,6.738095238,1.880952381,16.5,156.4343434,13.61616162,37.37373737,8.080808081,34.125,5.3125
24,LVS US EQUITY,2016,49000,7496,1670,11410,42460.95,42.562,62.5,39.5349,29.8246,92.3576,50.85,9.091,67,50,89,72,@LasVegasSands,4464,1611,40641.22741,14.67,7.61,5.11,43.18181818,6.25,3.454545455,2.181818182,8.416666667,201.1188119,0.792079208,22.77227723,12.87128713,409.6923077,1.230769231
24,LVS US EQUITY,2017,50500,7627,2808,12728,54827.61,42.562,62.5,39.5349,29.8246,84.3746,49.48,9.091,75,70,75,75,@LasVegasSands,4464,1611,40641.22741,15,3.83,1.56,57.22222222,3.888888889,5.285714286,2.857142857,10.91666667,9.580152672,1.435114504,21.3740458,10.6870229,10.28571429,0.428571429
24,LVS US EQUITY,2018,51500,6745,2413,13729,40338.75,40.9091,62.5,36.4341,29.8246,73.017,50,9.091,79,68,79,79,@LasVegasSands,4464,1611,40641.22741,33,4.57,1.36,75.75757576,9.090909091,3.861111111,1.638888889,24.08333333,8.539792388,1.252595156,23.52941176,13.14878893,7.868421053,0.5
25,SBUX US EQUITY,2016,254000,5890.7,2817.7,21315.9,79071.47,30.622,60.7143,16.6667,24.5614,#N/A N/A,#N/A N/A,25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,@Starbucks,11375656,95970,39050.80488,2245.58,72.99,15.32,1.239470071,0,0,0,1.833333333,64921.90909,5841.863636,59.09090909,0,0,0
25,SBUX US EQUITY,2017,277000,5457,2884.7,22386.8,76891.236,38.2775,60.7143,31.25,28.0702,30.4197,#N/A N/A,28.571,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,@Starbucks,11375656,95970,39050.80488,2883.92,30.11,8.03,1.132718814,0.008668766,175.6666667,25.33333333,2.75,30437.0303,6254.333333,39.39393939,0,0,0
25,SBUX US EQUITY,2018,291000,1175.8,4518.3,24719.5,67332.664,35.4067,66.0714,21.875,28.0702,#N/A N/A,#N/A N/A,40,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,@Starbucks,11375656,95970,39050.80488,3647.58,29.83,10.61,0.354115739,0.260446414,42.05263158,5.824561404,1.666666667,9983.25,2019.9,40,0,0,0
27,BK US EQUITY,2016,52000,39580,3547,15674,49629.9814,49.1228,75,40.1786,41.6667,#N/A N/A,42,28.571,93,85,94,98,@BNYMellon,29968,473,40375.94005,105.92,4.07,2.07,49.33123525,0.472069237,3,1.833333333,12.33333333,30.35810811,5.851351351,50.67567568,2.027027027,21,3.666666667
27,BK US EQUITY,2017,52500,41746,4090,16617,54583.9861,52.6316,75,47.3214,41.6667,9.3231,42,23.077,93,87,98,96,@BNYMellon,29968,473,40375.94005,74.25,6.92,2.59,79.12457912,0.336700337,8.333333333,2.333333333,14,60.24404762,6.577380952,80.35714286,1.785714286,40,3.333333333
27,BK US EQUITY,2018,51300,40868,4266,19213,45207.2518,56.5789,80.3571,52.6786,41.6667,7.8154,41,25,89,84,98,84,@BNYMellon,29968,473,40375.94005,44.67,6.67,2.03,90.67164179,0,0,0,6.833333333,77.81707317,7.658536585,40.24390244,2.43902439,45.5,7.5
28,GS US EQUITY,2016,34400,87399,7398,37712,94015.7875,44.7368,60.7143,51.7857,16.6667,5.8754,#N/A N/A,21.429,75,63,88,67,@GoldmanSachs,728020,106,40590.74941,136.5,31.92,19.6,54.21245421,0.915750916,13.13333333,12.6,2.916666667,120.9142857,22.57142857,8.571428571,0,0,0
28,GS US EQUITY,2017,33600,84123,4286,42911,95486.2912,44.7368,60.7143,51.7857,16.6667,4.6174,#N/A N/A,18.182,77,62,83,70,@GoldmanSachs,728020,106,40590.74941,124.33,24.43,11.64,73.32439678,0.871313673,29.53846154,13.46153846,28.41666667,110.2404692,22.65102639,13.48973607,1.173020528,70.75,10.25
28,GS US EQUITY,2018,36600,90185,10459,52528,61431.2966,47.3684,60.7143,51.7857,26.6667,3.7369,39,28.571,70,56,87,58,@GoldmanSachs,728020,106,40590.74941,109.92,27.61,10.59,77.55875663,1.592115239,19.14285714,7.142857143,35.33333333,42.69339623,9.535377358,10.8490566,3.773584906,25.3125,4.6875
29,NDAQ US EQUITY,2016,4325,5430,106,2276,11180.8139,22.7273,57.1429,9.3023,19.2982,#N/A N/A,35,20,74,74,76,64,@Nasdaq,538924,7565,39818.76838,265.17,7.91,7.76,70.77309868,0.377121307,4.583333333,4.166666667,49,98.11564626,25.36394558,0.340136054,0.510204082,49.33333333,7.333333333
29,NDAQ US EQUITY,2017,4734,5880,729,2411,12864.4943,32.2314,57.1429,23.2558,28.0702,5.9556,#N/A N/A,33.333,76,68,77,72,@Nasdaq,538924,7565,39818.76838,494.25,7.68,4.9,55.11718091,0.26976901,4.1875,2.625,49.16666667,71.4,26.13220339,0.338983051,0.508474576,53,33.33333333
