"","unix","low","high","open","close","BTC-USD volume"
"66",1645142400,39425.07,40990.9,40537.94,39983.56,16491.0130588
"67",1645056000,40099.99,44195.62,43895.55,40536.73,18630.10842181
"68",1644969600,43330.59,44585.69,44580.73,43895.56,9663.44040395
"69",1644883200,42433.28,44775.96,42548.71,44583.52,14154.73452625
"70",1644796800,41570,42876.15,42073.37,42548.71,14805.98338836
"71",1644710400,41885.61,42781.96,42244.91,42074.99,6208.94093653
"72",1644624000,41750,43050,42386.47,42244.97,8664.419567
"73",1644537600,42000,43962.13,43521.88,42386.47,19367.4151999
"74",1644451200,43210,45855,44416.39,43527.71,20024.52326862
"75",1644364800,43155.5,44865.46,44087.58,44416.35,12785.8117079
"76",1644278400,42688,45519.24,43868.08,44085.59,20387.64565183
"77",1644192000,41678.79,44533,42416.06,43868.07,20040.49860442
"78",1644105600,41135.39,42719.93,41411.59,42415.16,6447.88488893
"79",1644019200,40955.4,41970,41613.75,41404.85,11187.20118795
"80",1643932800,37051.36,41788.81,37324.61,41614.64,22537.5582634
"81",1643846400,36259.01,37450.75,36923.39,37329.91,13283.28624677
"82",1643760000,36584.29,38888.88,38714.27,36923.39,13787.58718711
"83",1643673600,38021.53,39300,38492.53,38716.88,16379.93141492
"84",1643587200,36640.94,38785.04,37904.99,38491.93,19654.98487168
"85",1643500800,37365.31,38384.07,38189.82,37901.35,10632.53591257
"86",1643414400,37300,38748.43,37741.9,38191.1,13103.19076443
"87",1643328000,36162.48,38023.74,37188.37,37741.9,22716.16494796
"88",1643241600,35526.36,37249,36846.22,37188.37,23601.4620954
"89",1643155200,36254.97,38960,36980,36840.63,27403.99125336
"90",1643068800,35716.15,37579.81,36687.58,36980,21597.52201359
"91",1642982400,32933.33,37574.63,36275.28,36693.32,38776.29020908
"92",1642896000,34625,36555.55,35075.7,36282.47,17440.22740453
"93",1642809600,34017.56,36835.93,36456.67,35066.43,30044.12486365
"94",1642723200,35422,41127.79,40671.77,36456.94,50742.89616126
"95",1642636800,40555,43511.99,41672.14,40670.97,17860.82318928
"96",1642550400,41126,42586.03,42372.15,41674.27,15642.41727542
"97",1642464000,41287.79,42692.71,42214.66,42369.74,13658.50365699
"98",1642377600,41567.64,43200,43104.34,42218.01,10963.85191034
"99",1642291200,42600,43497.24,43098.2,43104.34,6481.6580227
